system   D            wsystem.c:583  maybe_parent_dir                 [   0.00066] Also searching C:\Users\Konrad\Documents\KCK\Github\KCK__sroda_10_gr3\KCK\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00104] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00108] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00819] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.57018] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.57024] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.57111] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.57113] al_display=00C389E0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.57115] al_display->vt=00C44950
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.57460] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.57465] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57467] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57469] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57470] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57472] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57473] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57475] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57476] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57478] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57479] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57481] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57482] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57484] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57485] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57487] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57488] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.57490] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57491] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.57493] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57494] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57496] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57497] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57499] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57506] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57508] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57510] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57511] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57513] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57514] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57516] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57517] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57519] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57520] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57522] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.57523] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57525] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.57526] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57528] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57529] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57531] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57532] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57534] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57535] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57536] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57538] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57540] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57541] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57542] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57544] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57546] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57547] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57549] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.57550] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57552] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.57553] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57555] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57556] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57558] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57559] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57561] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57562] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
