system   D            wsystem.c:583  maybe_parent_dir                 [   0.00094] Also searching C:\Users\Konrad\Documents\KCK\Github\KCK__sroda_10_gr3\KCK\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00133] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00136] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00577] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.56868] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.56873] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.56960] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.56962] al_display=0082AF58
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.56963] al_display->vt=0082AE90
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.57220] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.57223] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57225] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57226] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.57228] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.57229] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57231] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.57232] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57234] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.57235] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57237] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.57238] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57240] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.57241] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57243] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.57244] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.57247] Score is : 713
